column Name,Data type,sub-type
listingkey,categorical ,Nominal
listingnumber,categorical,Nominal
listingcreationdate,categorical,Ordinal
creditgrade,categorical,Ordinal
term,categorical,Ordinal
loanstatus,categorical,Ordinal
closeddate,categorical,ordinal
borrowerapr,quantitative,
borrowerrate,quantitative,
lenderyield,,
estimatedeffectiveyield,,
estimatedloss,,
estimatedreturn,,
prosperrating (numeric),,
prosperrating (alpha),,
prosperscore,,
listingcategory (numeric),,
borrowerstate,,
occupation,,
employmentstatus,,
employmentstatusduration,,
isborrowerhomeowner,,
currentlyingroup,,
groupkey,,
datecreditpulled,,
creditscorerangelower,,
creditscorerangeupper,,
firstrecordedcreditline,,
currentcreditlines,,
opencreditlines,,
totalcreditlinespast7years,,
openrevolvingaccounts,,
openrevolvingmonthlypayment,,
inquirieslast6months,,
totalinquiries,,
currentdelinquencies,,
amountdelinquent,,
delinquencieslast7years,,
publicrecordslast10years,,
publicrecordslast12months,,
revolvingcreditbalance,,
bankcardutilization,,
availablebankcardcredit,,
totaltrades,,
tradesneverdelinquent (percentage),,
tradesopenedlast6months,,
debttoincomeratio,,
incomerange,,
incomeverifiable,,
statedmonthlyincome,,
loankey,,
totalprosperloans,,
totalprosperpaymentsbilled,,
ontimeprosperpayments,,
prosperpaymentslessthanonemonthlate,,
prosperpaymentsonemonthpluslate,,
prosperprincipalborrowed,,
prosperprincipaloutstanding,,
scorexchangeattimeoflisting,,
loancurrentdaysdelinquent,,
loanfirstdefaultedcyclenumber,,
loanmonthssinceorigination,,
loannumber,,
loanoriginalamount,,
loanoriginationdate,,
loanoriginationquarter,,
memberkey,,
monthlyloanpayment,,
lp_customerpayments,,
lp_customerprincipalpayments,,
lp_interestandfees,,
lp_servicefees,,
lp_collectionfees,,
lp_grossprincipalloss,,
lp_netprincipalloss,,
lp_nonprincipalrecoverypayments,,
percentfunded,,
recommendations,,
investmentfromfriendscount,,
investmentfromfriendsamount,,
investors,,
